seed,policy,decision_cost,false_accept,false_reject,investigations,probe_calls,event_recall,event_precision,brier
7,active,80.4,1,2,90,91,0.9803921568627451,0.9615384615384616,0.022035572569170627
8,baseline,245.0,26,4,0,0,0.49019607843137253,0.8620689655172413,
8,binary_naive,253.0,30,3,0,0,0.4117647058823529,0.875,0.1775105874728574
8,binary,273.0,38,1,0,0,0.2549019607843137,0.9285714285714286,0.15438832365183336
8,state_direct,210.0,17,6,0,0,0.6666666666666666,0.85,0.15438832365183336
8,random_acquire,197.99999999999994,11,6,120,120,0.7843137254901961,0.8695652173913043,0.10987078845040447
8,always_acquire,118.0,4,5,120,120,0.9215686274509803,0.9038461538461539,0.05333732856234541
8,eig_one_step,99.00000000000003,3,2,120,120,0.9411764705882353,0.96,0.03352720511271304
8,voi_one_step,90.20000000000002,3,4,83,83,0.9411764705882353,0.9230769230769231,0.050051818925724294
8,active,95.4,4,2,83,86,0.9215686274509803,0.9591836734693877,0.04330118424221658
9,baseline,234.0,26,3,0,0,0.49019607843137253,0.8928571428571429,
9,binary_naive,251.0,33,2,0,0,0.35294117647058826,0.9,0.1718600486621546
9,binary,272.0,39,2,0,0,0.23529411764705882,0.8571428571428571,0.12814469933774134
9,state_direct,193.0,15,3,0,0,0.7058823529411765,0.9230769230769231,0.12814469933774134
9,random_acquire,177.99999999999997,9,2,120,120,0.8235294117647058,0.9545454545454546,0.08361102580202857
9,always_acquire,88.00000000000003,0,2,120,120,1.0,0.9622641509433962,0.017724006593149943
9,eig_one_step,88.00000000000003,0,2,120,120,1.0,0.9622641509433962,0.015866300935592544
9,voi_one_step,73.20000000000002,0,2,83,83,1.0,0.9622641509433962,0.022182866317667936
9,active,73.60000000000001,0,2,83,84,1.0,0.9622641509433962,0.021927376923491396
10,baseline,225.0,24,2,0,0,0.5294117647058824,0.9310344827586207,
10,binary_naive,249.0,32,2,0,0,0.37254901960784315,0.9047619047619048,0.17148764655015533
10,binary,260.0,35,2,0,0,0.3137254901960784,0.8888888888888888,0.12975931990517975
10,state_direct,194.0,16,2,0,0,0.6862745098039216,0.9459459459459459,0.12975931990517975
10,random_acquire,162.0,8,2,120,120,0.8431372549019608,0.9555555555555556,0.07914639749921504
10,always_acquire,89.00000000000003,1,1,120,120,0.9803921568627451,0.9803921568627451,0.020962711882136605
10,eig_one_step,85.00000000000003,0,1,120,120,1.0,0.9807692307692307,0.009590607643408883
10,voi_one_step,84.20000000000002,2,1,83,83,0.9607843137254902,0.98,0.025408882014957845
10,active,71.20000000000002,1,0,83,83,0.9803921568627451,1.0,0.011457229930007954
11,baseline,241.0,27,2,0,0,0.47058823529411764,0.9230769230769231,
11,binary_naive,256.0,30,2,0,0,0.4117647058823529,0.9130434782608695,0.18273859504060536
11,binary,296.0,41,1,0,0,0.19607843137254902,0.9090909090909091,0.1468987433202703
11,state_direct,200.0,16,4,0,0,0.6862745098039216,0.8974358974358975,0.1468987433202703
11,random_acquire,162.0,8,2,120,120,0.8431372549019608,0.9555555555555556,0.08105639554540066
11,always_acquire,92.00000000000003,1,2,120,120,0.9803921568627451,0.9615384615384616,0.018880338591290798
11,eig_one_step,88.00000000000003,0,2,120,120,1.0,0.9622641509433962,0.01888904324315703
11,voi_one_step,77.60000000000002,1,2,84,84,0.9803921568627451,0.9615384615384616,0.02062596720007095
11,active,78.00000000000001,1,2,84,85,0.9803921568627451,0.9615384615384616,0.020436795701967277
12,baseline,239.0,26,2,0,0,0.49019607843137253,0.9259259259259259,
12,binary_naive,243.0,30,2,0,0,0.4117647058823529,0.9130434782608695,0.17514160581362187
12,binary,279.0,39,2,0,0,0.23529411764705882,0.8571428571428571,0.13301938750573647
12,state_direct,197.0,16,3,0,0,0.6862745098039216,0.9210526315789473,0.13301938750573647
12,random_acquire,171.0,8,5,120,120,0.8431372549019608,0.8958333333333334,0.094891271935542
12,always_acquire,89.00000000000003,1,1,120,120,0.9803921568627451,0.9803921568627451,0.021440321982535714
12,eig_one_step,86.00000000000003,1,0,120,120,0.9803921568627451,1.0,0.011157749082410878
12,voi_one_step,78.40000000000002,1,2,86,86,0.9803921568627451,0.9615384615384616,0.02463194075689094
12,active,75.40000000000002,1,1,86,86,0.9803921568627451,0.9803921568627451,0.018013778421674
13,baseline,221.0,23,2,0,0,0.5490196078431373,0.9333333333333333,
13,binary_naive,260.0,33,2,0,0,0.35294117647058826,0.9,0.2008498959472286
13,binary,282.0,40,2,0,0,0.21568627450980393,0.8461538461538461,0.1647698075529974
13,state_direct,215.0,19,5,0,0,0.6274509803921569,0.8648648648648649,0.1647698075529974
13,random_acquire,179.0,10,5,120,120,0.803921568627451,0.8913043478260869,0.11423282994519976
13,always_acquire,116.0,4,4,120,120,0.9215686274509803,0.9215686274509803,0.05457376806518173
13,eig_one_step,120.0,5,2,120,120,0.9019607843137255,0.9583333333333334,0.05001899561148928
13,voi_one_step,92.00000000000001,3,4,85,85,0.9411764705882353,0.9230769230769231,0.04609079638779352
13,active,89.00000000000001,3,3,85,85,0.9411764705882353,0.9411764705882353,0.03947263405257658
14,baseline,237.0,26,2,0,0,0.49019607843137253,0.9259259259259259,
14,binary_naive,254.0,32,2,0,0,0.37254901960784315,0.9047619047619048,0.17521604826910206
14,binary,278.0,39,2,0,0,0.23529411764705882,0.8571428571428571,0.16273561481766732
14,state_direct,215.0,19,5,0,0,0.6274509803921569,0.8648648648648649,0.16273561481766732
14,random_acquire,198.99999999999994,12,5,120,120,0.7647058823529411,0.8863636363636364,0.11246712881353751
14,always_acquire,107.00000000000003,4,3,120,120,0.9215686274509803,0.94,0.042225490975445416
14,eig_one_step,94.00000000000003,3,0,120,120,0.9411764705882353,1.0,0.025938654659273547
14,voi_one_step,92.20000000000002,4,3,83,83,0.9215686274509803,0.94,0.04363984617985553
14,active,88.20000000000002,3,3,83,83,0.9411764705882353,0.9411764705882353,0.035648822680579596
15,baseline,221.0,23,2,0,0,0.5490196078431373,0.9333333333333333,
15,binary_naive,256.0,33,3,0,0,0.35294117647058826,0.8571428571428571,0.17982668929971996
15,binary,266.0,37,2,0,0,0.27450980392156865,0.875,0.13798170590335382
15,state_direct,199.0,15,5,0,0,0.7058823529411765,0.8780487804878049,0.13798170590335382
