policy,seeds,decision_cost_mean,decision_cost_std,decision_cost_ci95,false_accept_mean,false_accept_std,false_accept_ci95,false_reject_mean,false_reject_std,false_reject_ci95,investigations_mean,investigations_std,investigations_ci95,probe_calls_mean,probe_calls_std,probe_calls_ci95,event_recall_mean,event_recall_std,event_recall_ci95,event_precision_mean,event_precision_std,event_precision_ci95,brier_mean,brier_std,brier_ci95
active,20,81.51000000000002,7.8984275583648165,3.4616385034288375,1.65,1.1821033884786185,0.5180796524819224,1.95,1.0990426455975697,0.48167667688256566,84.1,2.425739171122029,1.063127065733319,84.9,2.6337885460422132,1.1543087245529018,0.9676470588235293,0.023178497813306245,0.010158424558469065,0.9622185264042724,0.021030553358442318,0.009217046395127049,0.027491813228510426,0.011156229377963813,0.004889433103294627
always_acquire,20,99.60000000000002,9.896304467085834,4.337246664829996,1.8,1.2396943596157717,0.5433200084470914,2.9,1.5525869752736798,0.6804512434677756,120.0,0.0,0.0,120.0,0.0,0.0,0.9647058823529411,0.024307732541485723,0.010653333498962577,0.9448018104721767,0.02909810765064829,0.01275280795779743,0.033443756801787856,0.013004452093990091,0.0056994524228910605
baseline,20,231.3,7.987490219086342,3.5006719355003826,24.85,1.4964871146156007,0.6558643954836685,2.4,0.5982430416161189,0.26219157319149594,0.0,0.0,0.0,0.0,0.0,0.0,0.5127450980392156,0.029342884600305912,0.01286008618595429,0.9158943347263703,0.020532250343891723,0.008998655469997122,,,
binary,20,273.3,8.124686228759206,3.56080073785895,38.05,1.431782106327635,0.627506175268419,1.6,0.5026246899500346,0.2202849828840144,0.0,0.0,0.0,0.0,0.0,0.0,0.25392156862745097,0.0280741589476007,0.012304042652321948,0.8905367834779598,0.031660903243216784,0.01387600264865175,0.1465001493145448,0.012792298558974024,0.00560647203660235
binary_naive,20,246.6,8.356529120835301,3.6624103653482805,30.65,2.0332758116683998,0.8911224146517339,2.15,0.36634754853252327,0.16055889229418857,0.0,0.0,0.0,0.0,0.0,0.0,0.3990196078431373,0.03986815316996861,0.017472988522583013,0.9037351597677684,0.018388495036970265,0.008059113281690271,0.17923964817816826,0.008816959615533143,0.003864202926819693
eig_one_step,20,92.75000000000003,8.194189212002927,3.59126176331266,1.7,1.3416407864998738,0.588,0.95,0.998683343734455,0.4376922735390578,120.0,0.0,0.0,120.0,0.0,0.0,0.9666666666666666,0.026306682088232815,0.01152941176470588,0.9814462849000266,0.019428367076551125,0.008514857297097486,0.021878241128140692,0.010567869920023404,0.004631573201635329
random_acquire,20,174.7,17.417776763078017,7.633677240395103,9.2,1.7947291248483563,0.7865747195744878,3.45,1.5719582155957414,0.6889410638608241,120.0,0.0,0.0,120.0,0.0,0.0,0.819607843137255,0.03519076715388936,0.015423033717146827,0.9242146474064885,0.03382846275605351,0.014825977490183682,0.09397943214446601,0.013987777266794774,0.0061304136812451475
state_direct,20,203.0,7.560284038106115,3.313440571528729,16.8,1.2814465510343749,0.5616187131385211,3.95,1.394538218230416,0.6111833216241908,0.0,0.0,0.0,0.0,0.0,0.0,0.6705882352941176,0.025126402961458346,0.011012131630167085,0.8971674820936695,0.034359605398829436,0.015058761016962872,0.1465001493145448,0.012792298558974024,0.00560647203660235
voi_one_step,20,84.92000000000002,8.490341261506634,3.72105612172843,1.95,1.3168942730211068,0.577154362276451,2.7,1.2607433062326867,0.5525451160431678,84.05,2.438183102661747,1.068580859192031,84.05,2.438183102661747,1.068580859192031,0.9617647058823529,0.0258214563337472,0.011316752201499043,0.948194168124801,0.023924695664484134,0.01048546018596908,0.034951303848016105,0.012719305760669852,0.005574481532262642
