investigation_cost,investigations,investigation_rate,false_accept,false_reject,decision_cost,recall,precision
0.4,37,0.74,1,1,39.2,0.9565217391304348,0.9565217391304348
0.6,36,0.72,1,2,48.6,0.9565217391304348,0.9166666666666666
0.8,6,0.12,7,2,85.80000000000001,0.6956521739130435,0.8888888888888888
1.0,5,0.1,7,2,86.0,0.6956521739130435,0.8888888888888888
1.2,5,0.1,7,2,87.0,0.6956521739130435,0.8888888888888888
1.5,0,0.0,7,3,84.0,0.6956521739130435,0.8421052631578947
2.0,0,0.0,7,3,84.0,0.6956521739130435,0.8421052631578947
