policy,n,false_accept,false_reject,investigations,investigation_rate,probe_calls,decision_cost,recall,precision,brier
baseline,120,23,3,0,0.0,0,225.0,0.5490196078431373,0.9032258064516129,
binary_naive,120,27,2,0,0.0,0,233.0,0.47058823529411764,0.9230769230769231,0.1739185345793408
binary,120,37,2,0,0.0,0,273.0,0.27450980392156865,0.875,0.1617733550502715
state_direct,120,17,5,0,0.0,0,207.0,0.6666666666666666,0.8717948717948718,0.1617733550502715
random_acquire,120,10,5,120,1.0,120,190.99999999999994,0.803921568627451,0.8913043478260869,0.10041893027217404
always_acquire,120,3,4,120,1.0,120,112.00000000000001,0.9411764705882353,0.9230769230769231,0.04603261501388039
eig_one_step,120,1,2,120,1.0,120,92.00000000000003,0.9803921568627451,0.9615384615384616,0.02667845185538584
voi_one_step,120,2,2,90,0.75,90,84.00000000000001,0.9607843137254902,0.9607843137254902,0.030282085462623107
active,120,1,2,90,0.75,91,80.4,0.9803921568627451,0.9615384615384616,0.022035572569170627
