case_id,state,category,quality,semantic_drift,latency_ms,drift_event,initial_action,action,probe,cost,expected_cost,reason,belief,failure_class
case-039,DISTRIBUTION_SHIFT,instruction,0.7195744465230688,0.3592653347550802,679.3900480780533,True,INVESTIGATE,ACCEPT,capability_issue,10.8,2.6339297674863653,scheduled capability-coverage audit after the aggregate-evidence blind-spot failure; final=binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.19436991675437756, ""DEGRADED"": 0.1833929767486365, ""TRANSIENT"": 0.20718910471087293, ""DISTRIBUTION_SHIFT"": 0.415048001786113}",probe_nonresolution
case-027,STABLE,safety,0.6717531727239839,0.0167031261159257,410.66197328123286,False,REJECT,REJECT,,3.0,1.7640845070422535,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.2535211267605634, ""DEGRADED"": 0.4119718309859155, ""TRANSIENT"": 0.2112676056338028, ""DISTRIBUTION_SHIFT"": 0.12323943661971828}",quality_threshold_false_alarm
case-030,STABLE,knowledge,0.6270235391497699,0.5021553735988237,635.7638202015715,False,REJECT,REJECT,,3.0,0.7825071472329995,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.0004084133142740454, ""DEGRADED"": 0.7391642842556668, ""TRANSIENT"": 0.2374965965557144, ""DISTRIBUTION_SHIFT"": 0.022930705874344832}",measurement_noise_false_alarm
case-050,STABLE,knowledge,0.6911922869907635,0.1226115572435922,658.6344085688108,False,REJECT,REJECT,,3.0,1.7640845070422535,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.2535211267605634, ""DEGRADED"": 0.4119718309859155, ""TRANSIENT"": 0.2112676056338028, ""DISTRIBUTION_SHIFT"": 0.12323943661971828}",quality_threshold_false_alarm
