policy,n,false_accept,false_reject,investigations,investigation_rate,probe_calls,decision_cost,recall,precision,brier
baseline,50,9,2,0,0.0,0,89.0,0.6086956521739131,0.875,
binary_naive,50,11,1,0,0.0,0,92.0,0.5217391304347826,0.9230769230769231,0.1825796148075206
binary,50,17,1,0,0.0,0,118.0,0.2608695652173913,0.8571428571428571,0.1753802886958212
state_direct,50,7,3,0,0.0,0,84.0,0.6956521739130435,0.8421052631578947,0.1753802886958212
random_acquire,50,4,3,50,1.0,50,80.0,0.8260869565217391,0.8636363636363636,0.10553058638887908
always_acquire,50,3,2,50,1.0,50,61.00000000000001,0.8695652173913043,0.9090909090909091,0.07736603977789461
eig_one_step,50,1,0,50,1.0,50,41.0,0.9565217391304348,1.0,0.025238247808631195
voi_one_step,50,2,1,37,0.74,37,42.8,0.9130434782608695,0.9545454545454546,0.05613065386246653
active,50,1,1,37,0.74,38,39.2,0.9565217391304348,0.9565217391304348,0.036339022918180586
