scenario_id,policy,probe_id,observed_change,probe_action
S07,Policy_B_CostSensitive,P002,none,ACCEPT
S07,Policy_B_CostSensitive,P003,none,ACCEPT
S07,Policy_B_CostSensitive,P004,none,ACCEPT
S07,Policy_B_CostSensitive,P005,none,ACCEPT
S07,Policy_B_CostSensitive,P006,minor,INVESTIGATE
S07,Policy_B_CostSensitive,P007,none,ACCEPT
S07,Policy_B_CostSensitive,P008,none,ACCEPT
S07,Policy_B_CostSensitive,P009,none,ACCEPT
S07,Policy_B_CostSensitive,P010,none,ACCEPT
S07,Baseline_AlwaysAccept,P001,none,ACCEPT
S07,Baseline_AlwaysAccept,P002,none,ACCEPT
S07,Baseline_AlwaysAccept,P003,none,ACCEPT
S07,Baseline_AlwaysAccept,P004,none,ACCEPT
S07,Baseline_AlwaysAccept,P005,none,ACCEPT
S07,Baseline_AlwaysAccept,P006,minor,INVESTIGATE
S07,Baseline_AlwaysAccept,P007,none,ACCEPT
S07,Baseline_AlwaysAccept,P008,none,ACCEPT
S07,Baseline_AlwaysAccept,P009,none,ACCEPT
S07,Baseline_AlwaysAccept,P010,none,ACCEPT
S08,Policy_A_Threshold,P001,none,ACCEPT
S08,Policy_A_Threshold,P002,none,ACCEPT
S08,Policy_A_Threshold,P003,none,ACCEPT
S08,Policy_A_Threshold,P004,none,ACCEPT
S08,Policy_A_Threshold,P005,none,ACCEPT
S08,Policy_A_Threshold,P006,none,ACCEPT
S08,Policy_A_Threshold,P007,major,INVESTIGATE
S08,Policy_A_Threshold,P008,none,ACCEPT
S08,Policy_A_Threshold,P009,none,ACCEPT
S08,Policy_A_Threshold,P010,none,ACCEPT
S08,Policy_B_CostSensitive,P001,none,ACCEPT
S08,Policy_B_CostSensitive,P002,none,ACCEPT
S08,Policy_B_CostSensitive,P003,none,ACCEPT
S08,Policy_B_CostSensitive,P004,none,ACCEPT
S08,Policy_B_CostSensitive,P005,none,ACCEPT
S08,Policy_B_CostSensitive,P006,none,ACCEPT
S08,Policy_B_CostSensitive,P007,major,INVESTIGATE
S08,Policy_B_CostSensitive,P008,none,ACCEPT
S08,Policy_B_CostSensitive,P009,none,ACCEPT
S08,Policy_B_CostSensitive,P010,none,ACCEPT
S08,Baseline_AlwaysAccept,P001,none,ACCEPT
S08,Baseline_AlwaysAccept,P002,none,ACCEPT
S08,Baseline_AlwaysAccept,P003,none,ACCEPT
S08,Baseline_AlwaysAccept,P004,none,ACCEPT
S08,Baseline_AlwaysAccept,P005,none,ACCEPT
S08,Baseline_AlwaysAccept,P006,none,ACCEPT
S08,Baseline_AlwaysAccept,P007,major,INVESTIGATE
S08,Baseline_AlwaysAccept,P008,none,ACCEPT
S08,Baseline_AlwaysAccept,P009,none,ACCEPT
S08,Baseline_AlwaysAccept,P010,none,ACCEPT
S09,Policy_A_Threshold,P001,none,ACCEPT
S09,Policy_A_Threshold,P002,none,ACCEPT
S09,Policy_A_Threshold,P003,none,ACCEPT
S09,Policy_A_Threshold,P004,none,ACCEPT
S09,Policy_A_Threshold,P005,none,ACCEPT
S09,Policy_A_Threshold,P006,none,ACCEPT
S09,Policy_A_Threshold,P007,none,ACCEPT
S09,Policy_A_Threshold,P008,major,INVESTIGATE
S09,Policy_A_Threshold,P009,none,ACCEPT
S09,Policy_A_Threshold,P010,none,ACCEPT
S09,Policy_B_CostSensitive,P001,none,ACCEPT
S09,Policy_B_CostSensitive,P002,none,ACCEPT
S09,Policy_B_CostSensitive,P003,none,ACCEPT
S09,Policy_B_CostSensitive,P004,none,ACCEPT
S09,Policy_B_CostSensitive,P005,none,ACCEPT
S09,Policy_B_CostSensitive,P006,none,ACCEPT
S09,Policy_B_CostSensitive,P007,none,ACCEPT
S09,Policy_B_CostSensitive,P008,major,INVESTIGATE
S09,Policy_B_CostSensitive,P009,none,ACCEPT
S09,Policy_B_CostSensitive,P010,none,ACCEPT
S09,Baseline_AlwaysAccept,P001,none,ACCEPT
S09,Baseline_AlwaysAccept,P002,none,ACCEPT
S09,Baseline_AlwaysAccept,P003,none,ACCEPT
S09,Baseline_AlwaysAccept,P004,none,ACCEPT
S09,Baseline_AlwaysAccept,P005,none,ACCEPT
S09,Baseline_AlwaysAccept,P006,none,ACCEPT
S09,Baseline_AlwaysAccept,P007,none,ACCEPT
S09,Baseline_AlwaysAccept,P008,major,INVESTIGATE
S09,Baseline_AlwaysAccept,P009,none,ACCEPT
S09,Baseline_AlwaysAccept,P010,none,ACCEPT
S10,Policy_A_Threshold,P001,none,ACCEPT
S10,Policy_A_Threshold,P002,none,ACCEPT
S10,Policy_A_Threshold,P003,none,ACCEPT
S10,Policy_A_Threshold,P004,none,ACCEPT
S10,Policy_A_Threshold,P005,none,ACCEPT
S10,Policy_A_Threshold,P006,none,ACCEPT
S10,Policy_A_Threshold,P007,none,ACCEPT
S10,Policy_A_Threshold,P008,none,ACCEPT
S10,Policy_A_Threshold,P009,major,INVESTIGATE
S10,Policy_A_Threshold,P010,none,ACCEPT
S10,Policy_B_CostSensitive,P001,none,ACCEPT
S10,Policy_B_CostSensitive,P002,none,ACCEPT
S10,Policy_B_CostSensitive,P003,none,ACCEPT
S10,Policy_B_CostSensitive,P004,none,ACCEPT
S10,Policy_B_CostSensitive,P005,none,ACCEPT
S10,Policy_B_CostSensitive,P006,none,ACCEPT
S10,Policy_B_CostSensitive,P007,none,ACCEPT
S10,Policy_B_CostSensitive,P008,none,ACCEPT
S10,Policy_B_CostSensitive,P009,major,INVESTIGATE
S10,Policy_B_CostSensitive,P010,none,ACCEPT
S10,Baseline_AlwaysAccept,P001,none,ACCEPT
S10,Baseline_AlwaysAccept,P002,none,ACCEPT
S10,Baseline_AlwaysAccept,P003,none,ACCEPT
S10,Baseline_AlwaysAccept,P004,none,ACCEPT
S10,Baseline_AlwaysAccept,P005,none,ACCEPT
S10,Baseline_AlwaysAccept,P006,none,ACCEPT
S10,Baseline_AlwaysAccept,P007,none,ACCEPT
S10,Baseline_AlwaysAccept,P008,none,ACCEPT
S10,Baseline_AlwaysAccept,P009,major,INVESTIGATE
S10,Baseline_AlwaysAccept,P010,none,ACCEPT
S11,Policy_A_Threshold,P001,none,ACCEPT
S11,Policy_A_Threshold,P002,none,ACCEPT
S11,Policy_A_Threshold,P003,none,ACCEPT
S11,Policy_A_Threshold,P004,none,ACCEPT
S11,Policy_A_Threshold,P005,none,ACCEPT
S11,Policy_A_Threshold,P006,none,ACCEPT
S11,Policy_A_Threshold,P007,none,ACCEPT
S11,Policy_A_Threshold,P008,none,ACCEPT
S11,Policy_A_Threshold,P009,none,ACCEPT
S11,Policy_A_Threshold,P010,major,INVESTIGATE
S11,Policy_B_CostSensitive,P001,none,ACCEPT
S11,Policy_B_CostSensitive,P002,none,ACCEPT
S11,Policy_B_CostSensitive,P003,none,ACCEPT
S11,Policy_B_CostSensitive,P004,none,ACCEPT
S11,Policy_B_CostSensitive,P005,none,ACCEPT
S11,Policy_B_CostSensitive,P006,none,ACCEPT
S11,Policy_B_CostSensitive,P007,none,ACCEPT
S11,Policy_B_CostSensitive,P008,none,ACCEPT
S11,Policy_B_CostSensitive,P009,none,ACCEPT
S11,Policy_B_CostSensitive,P010,major,INVESTIGATE
S11,Baseline_AlwaysAccept,P001,none,ACCEPT
S11,Baseline_AlwaysAccept,P002,none,ACCEPT
